"","id","created_time","snippet","headline"
"41",1,"2000-08-06T05:00:00+0000","Special report, Crossing Borders, on quiet influx into Germany of Jews from former Soviet Union; Jewish population recently surpassed 100,000 for first time since Hitler dispersed and destroyed prewar community of more than 500,000; many Germans f...","Former Soviet Jews Find Uneasy Peace in Germany"
"42",2,"2000-06-30T05:00:00+0000","Charges of spying for Israel brought against 13 Jewish men has deeply shaken many of the 30,000 Jews in Iran, with some moved to willful silence and others to thoughts of emigration; case is drawing intense international interest, with Jewish and ...","Spy Trial of 13 Leaves the Jews of Iran Shaken"
"43",3,"2000-10-01T05:00:00+0000","Article on twin brothers Nicholas and George Pogany, Hungarian Jews born in 1912 whose family converted to Catholicism; Nicholas returned to Judiasm and spent final months of World War II in concentration camp; George became Catholic priest and sp...","Haunted and Redeemed by a Jewish Heritage"
"44",4,"2000-01-09T05:00:00+0000","Article on Detroit Tigers baseball player Hank Greenberg, who is subject of documentary, The Life and Times of Hank Greenberg by Aviva Kempner; photos (M)","He Batted for the Tigers, Himself and American Jews"
"45",5,"2000-08-13T05:00:00+0000","Samuel G Freedman article, adapted from upcoming book","The Jewish Tipping Point"
"46",6,"2000-07-02T05:00:00+0000","Temple Israel, Conservative Jewish congregation in White Plains, plans to build mikvah, ritual bath that could be used by converts, which should be completed in fall; photo (M)","A New Jewish Home For an Ancient Practice"
"47",7,"2000-10-10T05:00:00+0000","Several hundred Jews in predominantly Arab city of Nazareth go on rampage, attacking Arab homes and touching off melee in which Israeli police kill two Arab youths; map (M)","Crowds of Jews Rampage in Nazareth"
"48",8,"2000-05-09T05:00:00+0000","Biologists have used new technique based on male or Y chromosome to trace diaspora of Jewish populations from dispersals that began in 586 BC to modern European and Middle Eastern communities; analysis shows these communities have retained their b...","Y Chromosome Bears Witness to Story of the Jewish Diaspora"
"49",9,"2000-04-23T05:00:00+0000","","April 16-22; Report on Theft From Jews"
"50",10,"2000-04-02T05:00:00+0000","Michael Marissen comment on Bach's St John Passion, with its hostile references to Jews; many music lovers maintain that Bach's librettos can be ignored, but composer's job in Leipzig was to be 'musical preacher' for Lutheran churches; scholars ar...","Music; Perspectives on the 'St. John Passion' and the Jews"
"51",1,"2000-10-11T05:00:00+0000","Palestinians rioting leaves Jewish Americans feeling agonized, angry and more doubtful than ever that Yasir Arafat and his people want peace; many point to desecration of Joseph's Tomb and failure of Palestinian police to protect site as proof tha...","Among U.S. Jews, a Deep Pessimism Takes Hold"
"52",2,"2000-03-16T05:00:00+0000","","Study Shows 45% of Swiss Believe No Apologies to Jews Are Necessary"
"53",3,"2000-03-16T05:00:00+0000","In the wake of two reports reproaching Switzerland for its treatment of Nazi victims' assets and of Jews fleeing Germany, a study made public on Wednesday said that 45 percent of Swiss citizens believe their country had ""nothing to apologize about...","Study Shows 45% of Swiss Believe No Apologies to Jews Are Necessary"
"54",4,"2000-04-05T05:00:00+0000","Florence Fabricant reviews Jayne Cohen's new cookbook The Gefilte Variations; recipe; photo (M)","Jewish Classics, With Alterations"
"55",5,"2000-04-13T05:00:00+0000","A long-awaited trial of 13 Jews on espionage and related charges was scheduled to begin Thursday, placing Iran under the international spotlight and prompting fears within the Iranian Jewish community that their freedom could be threatened..Some o...","Both a Trial And Its Critics Leave the Jews Of Iran Fearful"
"56",6,"2000-07-29T05:00:00+0000","Religious revival stirs in Azerbaijan, after years in which Communist authorities sought to eliminate all religion; even Judaism is undergoing mild resurgence; about 18,000 'Mountain Jews,' in Caucasus for generations, maintain enclave in northern...","Baku Journal; A Jewish Renaissance In an Unlikely Location"
"57",7,"2000-03-31T05:00:00+0000","Grace Glueck reviews Jewish Museum's re-installation of permanent exhibition on saga of Jewish civilization of 4,000 years; describes some of art and artifacts on display; photos (M)","Jewish History, From Hoes to a Lady Liberty Menorah"
"58",8,"2000-04-14T05:00:00+0000","Four Jewish defendants were said to have confessed Thursday to spying for Israel in a closed-door hearing before a revolutionary court judge, according to a judiciary spokesman..The case, which has alarmed Jewish groups and Western governments, ad...","Iranian Jews' Confession Denied by Their Attorney"
"59",9,"2000-06-18T05:00:00+0000","International Orthodox Jewish organizations renew their protests against planned construction of administrative building over remnants of 13th century Jewish cemetery in downtown Prague; fear is that construction would disturb medieval graves; Cze...","Dispute Over Jewish Graves Draws Protesters to Prague"
"60",10,"2000-11-05T05:00:00+0000","Alvin Klein reviews play Modern Orthodox written by Daniel Goldfarb and directed by John Pasquin, at Long Wharf Theater, New Haven, Conn; photo (M)","Who's a Jew? What's the Joke?"
"61",1,"2000-08-12T05:00:00+0000","Beliefs column on complexity of Jewish views about separation of church and state; reports that while many Jewish Americans are enthusiastic about vice-presidential candidacy of Sen Joseph Lieberman, more than few have also raised eyebrows about h...","Jewish views on separation of church and state grow more complex when it comes to politics."
"62",2,"2000-08-13T05:00:00+0000","Jewish sites in 16 European countries plan to simultaneously open doors to public on September 3 for European Day of Jewish Culture; photos (M)","Open Doors to Honor Jewish Heritage"
"63",3,"2000-08-12T05:00:00+0000","Vanity Fair contributing editor David Margolick Op-Ed article holds that Al Gore's selection of Sen Joseph Lieberman, Orthodox Jew, as his running mate will test limits of American tolerance (M)","For American Jews, Hope and Uncertainty"
"64",4,"2000-07-13T05:00:00+0000","Ronne Wohl Wulwick, a founder of Hineni, outreach group that encourages young Jews to reconnect to their heritage, dies at age 85 (S)","Ronne Wohl Wulwick, 85, Jewish Advocate"
"65",5,"2000-01-17T05:00:00+0000","Estrongo Nachama, chief cantor of Berlin Jewish community and the man who did as much as anyone to revive Jewish life in the city after Hitler destroyed it, dies at age 81; photo (M)","Estrongo Nachama, 81, Dies; Chief Cantor of Berlin's Jews"
"66",6,"2000-04-26T05:00:00+0000","Iran's pending trial of 13 Jews on espionage charges is monitored as gauge of evolving balance of power between forces of tolerance and Islamic zealotry; charges have generated sharp questions from officials of US, Western Europe, Japan and even R...","Trial of Jews: Clue to Iran's Direction?"
"67",7,"2000-09-24T05:00:00+0000","Article, in light of upcoming Jewish High Holy Days, on JM in the AM, Jewish music and talk show on WFMU-FM radio in Jersey City hosted by Nachum Segal; photo (M)","For Orthodox Jews, a Gathering Place on the Air"
"68",8,"2000-03-18T05:00:00+0000","Pope John Paul II's apology for errors committed by Catholics against others was preceded by more specific apology offered by Archbishop Rembert G Weakland of Milwaukie, Wis, four months ago; Weakland's comments were directed to Jews, and delivere...","A Catholic Who Found a Harmony in His Apology to Jews"
"69",9,"2000-06-26T05:00:00+0000","Hebrew Israelites, 80-year-old association of black Americans with Judaic beliefs, hold four-day gathering in Brooklyn; highlight of gathering is ordination of six rabbies; photo (M)","They're Jewish, With a Gospel Accent"
"70",10,"2000-07-02T05:00:00+0000","Iranian judge convicts 10 of 13 Jewish men accused by Revolutionary Court of spying for Israel and sentences them to prison terms ranging from 4 to 13 years; two Muslim men convicted of aiding spy ring are sentenced to two and four years; two othe...","10 JEWS CONVICTED BY IRANIAN COURT IN ESPIONAGE CASE"
"71",1,"2000-01-08T05:00:00+0000","Over 400 American Jewish college students arrive in Israel, first planeload in program to stem erosion of Jewish communities abroad by bringing tens of thousands of young Jews on free educational visits; program seeks to strengthen ties of Jewishl...","Trips to Renew Jewish Ties Set Off Debate Over Costs"
"72",2,"2000-07-06T05:00:00+0000","Relatives of some of 10 Jewish men sentenced to prison in Iran on espionage charges meet privately with Pres Clinton to build pressure against verdicts (S)","Relatives of Jews Jailed by Iran Meet Clinton"
"73",3,"2000-05-19T05:00:00+0000","Excavation and reconstruction of first synagogue built in New World is under way in Recife, Brazil; synagogue flourished in mid-1600's when Dutch controlled that part of Brazil; when Portuguese returned, Recife's Jews left for Manhattan, where the...","Recife Journal; A Brazilian City Resurrects Its Buried Jewish Past"
"74",4,"2000-12-03T05:00:00+0000","SYDNEY, Australia, Dec. 2 — This multicultural city of four million people recently celebrated ethnic diversity and harmony at the 2000 Olympic Games, but local Jews and Muslims are now worried by more than 100 physical and verbal attacks on Jews ...","Sydney, Olympics Host, Frets Over a Spate of Attacks on Jews"
"75",5,"2000-12-26T05:00:00+0000","Nearly 200 New Yorkers and tourists, most of them Jewish and all of them bundled up, take Christmas Day walking tours of Lower East Side's famous Jewish sites; photo; Seth Kamil of Big Onion Walking Tours started annual tradition in 1990, although...","For Christmas, No Tinsel or Tree, but a Taste of Jewish History"
"76",6,"2000-04-19T05:00:00+0000","Israel has been slow to act on emigration bids of 26,000 people still in Ethiopia who claim to be Jews; holds their ties to Judaism are not as certain as those of Ethiopians Jews allowed to emigrate in past because many of their families converted...","Tangling of Jewish Roots Bars Ethiopians From Israel"
"77",7,"2000-04-18T05:00:00+0000","Commission headed by Jean Matteoli finds Nazis and French collaborators seized $1.3 billion in assets from French Jews, far more than previously assumed; finds 90 percent was repaid in some form in 10 years after war; finds some Jews suffered from...","French Issue First Detailed Study of Wartime Thefts From Jews"
"78",8,"2000-02-27T05:00:00+0000","The Eternal Road, known in German as Der Weg der Verheissung, Kurt Weill's vast, emotionally gripping musical pageant of Jewish history, will be presented at Brooklyn Academy of Music, part of 100th birthday celebration of Weill, but in form that ...","On the Road Toward Hope: Kurt Weill's Celebration Of the Jews"
"79",9,"2000-08-09T05:00:00+0000","Vice Pres Al Gore's choice of Sen Joseph I Lieberman, Jew, as running mate has spurred barrage of anti-Semitic comments in online chat rooms and on Internet message boards, leading America Online and some other online services to star deleting off...","Choice of Jewish Candidate Is Noted in Slurs on Internet"
"80",10,"2000-04-27T05:00:00+0000","Luxury hotels in United States and around world are catering to Passover crowd; most of these resorts are not kosher year-round, but are buffed into Passover condition under watchful eyes of rabbis and trained kosher chefs; travel agents who speci...","Passover at Hotels Is Liberating Jewish Mothers"
"81",1,"2000-09-19T05:00:00+0000","Russian Pres Vladimir V Putin visits site of bombed-out Marina Roshcha synagogue in Moscow to dedicate $12 million Jewish community center; hails new structure as symbol of new era of tolerance in Russia; his strong gesture of support for faith th...","Putin, Making a Gesture to Jews, Slips Into a Factional Morass"
"82",2,"2000-03-09T05:00:00+0000","Israeli Supreme Court rules that Israeli Arab couple cannot be barred from living in community built solely for Jews; landmark decision after more than four years of hearings is hailed as important step toward equality for Israel's one million Ara...","Israeli Court Rules Arab Couple Can Live in Jewish Area"
"83",3,"2000-10-01T05:00:00+0000","Israeli officials push for international campaign on behalf of 11 Iranian Jews who disappeared while emigrating; 11 missing men have come to attention of human rights and American Jewish groups only in last month; until then, Iranian Jews, who pre...","Israel Seeks to Uncover Fate Of 11 Jews Lost Fleeing Iran"
"84",4,"2000-06-03T05:00:00+0000","Republican Senate nominee Representative Rick A Lazio meets with Jewish leaders seeking support from key constituency that traditionally favors Democrats; meeting coincides with Salute to Israel parade and Lazio says he explained his positions on ...","Lazio Courts Jewish Vote on Eve of Parade"
